Metric,K,Precision,Recall,F1,NDCG,HitRate,MAP
Hybrid Score,1,1.0,0.0256,0.0499,1.0,1.0,0.9949
Hybrid Score,3,1.0,0.0769,0.1426,1.0,1.0,0.9949
Hybrid Score,5,1.0,0.1282,0.2266,1.0,1.0,0.9949
Hybrid Score,10,0.9996,0.2562,0.4062,0.9997,1.0,0.9949
TF-IDF Cosine,1,1.0,0.0256,0.0499,1.0,1.0,0.903
TF-IDF Cosine,3,0.9967,0.0766,0.1421,0.9975,1.0,0.903
TF-IDF Cosine,5,0.9948,0.1275,0.2254,0.9961,1.0,0.903
TF-IDF Cosine,10,0.9894,0.2534,0.4018,0.9918,1.0,0.903
Word2Vec Cosine,1,1.0,0.0256,0.0499,1.0,1.0,1.0
Word2Vec Cosine,3,1.0,0.0769,0.1426,1.0,1.0,1.0
Word2Vec Cosine,5,1.0,0.1282,0.2266,1.0,1.0,1.0
Word2Vec Cosine,10,1.0,0.2563,0.4063,1.0,1.0,1.0
Euclidean Sim,1,1.0,0.0256,0.0499,1.0,1.0,0.903
Euclidean Sim,3,0.9967,0.0766,0.1421,0.9975,1.0,0.903
Euclidean Sim,5,0.9948,0.1275,0.2254,0.9961,1.0,0.903
Euclidean Sim,10,0.9894,0.2534,0.4018,0.9918,1.0,0.903
Pearson Sim,1,1.0,0.0256,0.0499,1.0,1.0,0.896
Pearson Sim,3,0.9967,0.0766,0.1421,0.9975,1.0,0.896
Pearson Sim,5,0.9944,0.1274,0.2253,0.9958,1.0,0.896
Pearson Sim,10,0.9898,0.2535,0.402,0.9922,1.0,0.896
