job_id,job_title,company_name,industry,location,job_type,experience_level,min_experience_years,education_required,required_skills,preferred_skills,salary_min_lkr,salary_max_lkr,posted_date,description
J0001,Financial Analyst,Pan Asia Bank,Finance,Galle,Full-Time,Mid,3,Master's,"Teamwork, Financial Modeling, Tax Planning, Tableau, Accounting, Python, Fixed Income, Presentation Skills, Power BI","GAAP, Equity Research, Data Analysis",121653,166213,2026-04-19,"We are looking for a Mid-level Financial Analyst to join our Finance team at Pan Asia Bank. The ideal candidate will have strong skills in Teamwork, Financial Modeling, Tax Planning. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include GAAP, Equity Research."
J0002,Full Stack Developer,IFS R&D International,Technology,Kandy,Internship,Junior,1,Master's,"Machine Learning, Docker, MongoDB",Deep Learning,61467,91839,2025-12-04,"We are looking for a Junior-level Full Stack Developer to join our Technology team at IFS R&D International. The ideal candidate will have strong skills in Machine Learning, Docker, MongoDB. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Deep Learning."
J0003,Operations Manager,SriLankan Airlines,Operations,Matara,Freelance,Junior,1,Bachelor's,"Excel, Supply Chain Management, ERP, Inventory Management, SQL, Leadership, PMP, Quality Assurance, SAP","ISO, Risk Management, Process Improvement",59637,87009,2026-03-03,"We are looking for a Junior-level Operations Manager to join our Operations team at SriLankan Airlines. The ideal candidate will have strong skills in Excel, Supply Chain Management, ERP. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include ISO, Risk Management."
J0004,Project Manager,Holcim Lanka,Operations,Matara,Part-Time,Senior,6,High School,"Six Sigma, SAP, Process Improvement, Lean, Quality Assurance, Reporting, Supply Chain Management, Problem Solving, SQL, Procurement","Data Analysis, Inventory Management",160367,240436,2026-03-08,"We are looking for a Senior-level Project Manager to join our Operations team at Holcim Lanka. The ideal candidate will have strong skills in Six Sigma, SAP, Process Improvement. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Data Analysis, Inventory Management."
J0005,Compensation Analyst,Hemas Holdings,HR,Trincomalee,Full-Time,Entry,0,Diploma,"Onboarding, Organizational Skills, Training & Development",Communication,45425,56661,2025-12-31,"We are looking for a Entry-level Compensation Analyst to join our HR team at Hemas Holdings. The ideal candidate will have strong skills in Onboarding, Organizational Skills, Training & Development. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Communication."
J0006,Product Marketing Manager,Cargills (Ceylon),Marketing,Matara,Contract,Lead,9,Diploma,"Brand Management, Data Analysis, Leadership, Product Marketing, Salesforce, Communication, SQL","SEM, Teamwork",269978,338497,2025-12-28,"We are looking for a Lead-level Product Marketing Manager to join our Marketing team at Cargills (Ceylon). The ideal candidate will have strong skills in Brand Management, Data Analysis, Leadership. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include SEM, Teamwork."
J0007,Supply Chain Analyst,Lanka Logistics,Operations,Jaffna,Internship,Junior,1,High School,"SAP, Risk Management, Problem Solving, Vendor Management, PMP, Reporting, Six Sigma, Lean, Supply Chain Management","Process Improvement, Procurement",75149,82300,2026-01-12,"We are looking for a Junior-level Supply Chain Analyst to join our Operations team at Lanka Logistics. The ideal candidate will have strong skills in SAP, Risk Management, Problem Solving. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Process Improvement, Procurement."
J0008,Mobile Developer,Rootcode Labs,Technology,Kalutara,Internship,Entry,0,Master's,"GCP, Kafka, Seaborn, Matplotlib, FastAPI","Tableau, Data Visualization, CI/CD, Scrum",36921,51444,2026-01-20,"We are looking for a Entry-level Mobile Developer to join our Technology team at Rootcode Labs. The ideal candidate will have strong skills in GCP, Kafka, Seaborn. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Tableau, Data Visualization."
J0009,Growth Hacker,John Keells Holdings,Marketing,Ratnapura,Full-Time,Mid,3,PhD,"Data Analysis, Project Management, Email Marketing, Content Marketing","Teamwork, Social Media Marketing, Canva",126732,161443,2026-02-10,"We are looking for a Mid-level Growth Hacker to join our Marketing team at John Keells Holdings. The ideal candidate will have strong skills in Data Analysis, Project Management, Email Marketing. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Teamwork, Social Media Marketing."
J0010,Content Writer,Leo Burnett Sri Lanka,Marketing,Matara,Internship,Entry,0,Bachelor's,"Adobe Creative Suite, Leadership, SQL, Brand Management, Campaign Management, Email Marketing, Data Analysis, Communication","Copywriting, Canva",37932,59749,2026-03-05,"We are looking for a Entry-level Content Writer to join our Marketing team at Leo Burnett Sri Lanka. The ideal candidate will have strong skills in Adobe Creative Suite, Leadership, SQL. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Copywriting, Canva."
J0011,Financial Analyst,Softlogic Finance,Finance,Ratnapura,Contract,Lead,9,High School,"GAAP, Bloomberg Terminal, Financial Reporting, Tax Planning, SQL, Financial Modeling, Data Analysis","VBA, Equity Research, Tableau",302205,330756,2026-03-17,"We are looking for a Lead-level Financial Analyst to join our Finance team at Softlogic Finance. The ideal candidate will have strong skills in GAAP, Bloomberg Terminal, Financial Reporting. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include VBA, Equity Research."
J0012,Cybersecurity Analyst,Virtusa,Technology,Jaffna,Part-Time,Manager,10,High School,"React, Django, Plotly, Azure, Deep Learning, AWS, MongoDB, Flask, Redis, Kubernetes",SQL,348435,428779,2026-02-06,"We are looking for a Manager-level Cybersecurity Analyst to join our Technology team at Virtusa. The ideal candidate will have strong skills in React, Django, Plotly. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include SQL."
J0013,Data Scientist,WSO2,Technology,Batticaloa,Contract,Senior,6,Diploma,"Tableau, C#, Jira","Teamwork, Computer Vision, REST API",200239,268329,2026-03-21,"We are looking for a Senior-level Data Scientist to join our Technology team at WSO2. The ideal candidate will have strong skills in Tableau, C#, Jira. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Teamwork, Computer Vision."
J0014,Growth Hacker,Unilever Sri Lanka,Marketing,Hybrid,Part-Time,Entry,0,PhD,"Campaign Management, SQL, Teamwork, SEO, SEM, Email Marketing, Copywriting, Social Media Marketing, Salesforce",Market Research,42264,48229,2026-02-03,"We are looking for a Entry-level Growth Hacker to join our Marketing team at Unilever Sri Lanka. The ideal candidate will have strong skills in Campaign Management, SQL, Teamwork. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Market Research."
J0015,Compliance Officer,Softlogic Finance,Finance,Galle,Freelance,Manager,10,Master's,"IFRS, Tax Planning, Python","Bloomberg Terminal, Investment Analysis, SQL",374471,534590,2025-11-13,"We are looking for a Manager-level Compliance Officer to join our Finance team at Softlogic Finance. The ideal candidate will have strong skills in IFRS, Tax Planning, Python. You will work on exciting projects and collaborate with cross-functional teams. Preferred skills include Bloomberg Terminal, Investment Analysis."
